id;title;description;url;url_type;is_ai_generated;is_premium;is_blocked;is_moderated;is_active;created_by;created_on;updated_by;updated_on
1;excluding shampoo ah;draft;https://precious-ice-cream.com;LocalVideoUpload;false;true;false;false;true;but;2025-01-03;whether cow bah;2025-01-04
2;boohoo surprisingly coordinated;likely ocelot battle;https://severe-peony.net;YouTube;true;false;false;false;true;finally regarding;2025-01-04;chunter overwork;2025-01-03
3;bran;whirlwind;https://ignorant-smog.org/;Instagram;true;true;true;false;false;gee abaft a;2025-01-03;guard stylish freckle;2025-01-03
4;often speedily rust;internationalize;https://trusty-gym.biz/;Instagram;true;false;true;true;true;energetic briskly oh;2025-01-04;after hence;2025-01-03
5;staid finally;lone delightfully functional;https://gorgeous-midwife.com;Instagram;false;true;false;false;true;sustenance;2025-01-03;nearly however er;2025-01-03
6;seagull;cautious;https://ornery-heartache.com/;YouTube;true;false;false;true;false;celsius descriptive;2025-01-04;fat poorly aw;2025-01-03
7;forenenst;frenetically versus;https://memorable-gerbil.org;LocalVideoUpload;true;true;true;true;true;hopelessly mmm;2025-01-03;extremely because;2025-01-04
8;dapper;ornery;https://advanced-rust.info;Instagram;true;false;true;false;false;unless;2025-01-04;aside descriptive offensively;2025-01-03
9;brr scented;unlike;https://those-suitcase.biz;YouTube;false;false;false;false;true;strictly however wisely;2025-01-04;but rightfully camouflage;2025-01-03
10;while scarily whoa;lovable;https://coordinated-bourgeoisie.biz/;YouTube;true;false;false;true;true;gosh immediately pfft;2025-01-03;immaculate;2025-01-04
