id;title;description;status;payment_status;is_blocked;block_reason;blocked_by;is_paused;pause_reason;paused_by;banner_1_url;banner_2_url;banner_3_url;start_date;end_date;landing_url;total_prize_value;invoice_to_sponsor_url;tnc_url;tnc;is_active;created_by;created_on;updated_by;updated_on
1;godfather next where;ugh knottily vice;ClosedWinnersSelected;PaymentReceivedFromSponsor;false;rosemary;basic monumental or;false;boohoo;whereas suffice;nautical obedience deployment;nor parched guzzle;till often austere;2025-01-04;2025-01-04;fishery stylish;3378.87;shimmering beyond;relieve runny motivate;hm;false;till;2025-01-03;distorted after notwithstanding;2025-01-04
2;inscribe gruesome;blah minority consequently;Blocked;PaymentRemittedToWinners;false;than baseboard;before formation;false;excited;geez trivial instead;convalesce;toward sin decide;phew edge unlawful;2025-01-04;2025-01-04;confirm lest;24379.51;release mysteriously tight;fast reporter;who;false;unwilling;2025-01-04;strange;2025-01-04
3;lest afterwards;jam-packed psst;ClosedWinnersAnnounced;PartialPaymentReceivedFromSponsor;true;zowie since dally;ceramics;true;since smoke;neaten yet syringe;lest;instance shear who;portly nicely achieve;2025-01-03;2025-01-03;knight furiously meanwhile;25941.35;ack hence;lampoon phew bruised;atop blah;false;gosh;2025-01-03;huzzah phooey;2025-01-04
4;more splurge overspend;absent;Draft;PaymentRemittedToWinners;false;dishonor minus against;gladly sock creature;false;inasmuch joyfully briskly;unnaturally dreamily;upward completion till;qua instantly important;vainly failing;2025-01-03;2025-01-04;midst;20229.9;yippee frizz;if;powerful square times;true;think anti hope;2025-01-04;stall ambitious besides;2025-01-03
5;pish pfft;nutritious;Active;PartialPaymentReceivedFromSponsor;false;if kinase who;oh strait;false;terrorise stingy duh;inasmuch gee;how;fast regularly from;phooey magnificent;2025-01-04;2025-01-04;obligation;26217.31;filthy drat ick;duh funny;whoa nab;true;hmph;2025-01-03;mythology;2025-01-03
6;inasmuch design propound;minus gym;Blocked;PaymentPendingFromSponsor;false;among neglect excited;or;true;guzzle though lustrous;object absent naturally;yowza but;unit valuable snuggle;yahoo concentration unimpressively;2025-01-04;2025-01-04;clavicle afore;16616.13;eek fully monstrous;oh phooey from;amongst;true;minority;2025-01-03;kielbasa tight scarcely;2025-01-04
7;curiously;yippee lady;ClosedWinnersPending;PaymentRemittedToWinners;false;stir-fry wearily gratefully;astride;true;before distinction eek;when revoke;warp;jazz;ah;2025-01-03;2025-01-04;because char;21471.64;hm;necessary;athwart;false;beyond lecture;2025-01-03;phooey;2025-01-03
8;whoa past incomplete;splendid;Draft;PaymentPendingFromSponsor;false;what ill-fated delightfully;who blah;false;lest per;that;during yellow;opposite utilized avow;second gnaw sham;2025-01-04;2025-01-03;unimportant;29938.32;and whoever across;wallop;pry considering;true;best correctly;2025-01-03;optimistically ameliorate boohoo;2025-01-03
9;grizzled notwithstanding through;dampen and hmph;ClosedWinnersPending;PaymentReceivedFromSponsor;false;likewise skyline ack;factorize weep;true;until huzzah;who;far-flung peppery;hyena at;primary although narrate;2025-01-04;2025-01-03;hotfoot circa;19839.65;innovate witty after;admonish sans;pity;false;hence think amid;2025-01-04;round;2025-01-03
10;but hospitalization amid;if absentmindedly yowza;Active;PaymentPendingFromSponsor;true;eek;gullible goose;true;extremely testimonial bah;fashion midst wring;designation;instead;jagged regarding upon;2025-01-04;2025-01-04;dishonor;17068.73;whose gosh;woot meh;restaurant;false;uh-huh aboard;2025-01-04;hydrant curry;2025-01-04
