id;sponsor_name;sponsor_description;sponsor_banner_1_url;sponsor_banner_2_url;sponsor_banner_3_url;sponsor_external_url;sponsor_logo_url;is_active;created_by;created_on;updated_by;updated_on
1;attest bell;scruple nor;sick anti;manner;finally fork;superior lest as;while psst;false;except except kettledrum;2025-01-04;once unless;2025-01-03
2;rigidly off upliftingly;authorized importance hm;hm;considering wetly;broken;seagull aside duh;smog;false;absent lieu the;2025-01-04;diversity;2025-01-03
3;restaurant blaring potable;through;sauerkraut when;since viciously yahoo;mmm;chasuble;powerfully fray official;true;if furthermore;2025-01-04;during;2025-01-04
4;like these;aw cardboard kowtow;horse eek;during atop because;alive until outsource;officially;muscat;false;or thoughtfully bloom;2025-01-04;ectoderm continually yum;2025-01-04
5;freely geez beyond;aside graduate eek;carefree;rebound;tuba often;abaft accidentally;via uniform;true;pfft redound cuddly;2025-01-03;upright;2025-01-04
6;damp fervently ick;ew;pish;captain physically hose;sick but indeed;duh nor far-off;out gracefully jubilant;true;past longingly;2025-01-03;possible;2025-01-04
7;in;lender tousle coincide;mmm tightly till;roadway essence cheerful;jump amidst;afore;foolish yum although;true;front despite;2025-01-04;sympathetically zowie obedient;2025-01-04
8;mockingly;underplay;familiar;realistic hmph;upward vol yet;curiously than exempt;row pish into;false;fax;2025-01-04;querulous repeat;2025-01-04
9;onto phooey along;tomography;fiercely muscat plain;rightfully;pure;mechanic;filthy;true;zowie airbus for;2025-01-04;even clearly;2025-01-04
10;inasmuch minor;brandish flame facilitate;phew;pacemaker instead;moor apropos;sheepishly gee steel;mortally;false;request;2025-01-03;boo whoa than;2025-01-04
