id;change_type;oldtitle;old_description;old_url;old_url_type;old_is_ai_generated;old_is_premium;old_is_blocked;old_is_moderated;old_is_active;old_created_by;old_created_on;old_updated_by;old_updated_on
1;UserUpdateContent;er er once;mmm angrily;extremely;Instagram;true;true;true;false;false;ack authentic meanwhile;2025-01-03;promise;2025-01-03
2;UserUpdateContent;whose;discontinue while swordfish;sinful disbar;YouTube;true;false;false;false;true;eek;2025-01-03;incidentally anguished platypus;2025-01-03
3;UserUpdateContent;uh-huh woefully kookily;er waft;if elevator uh-huh;LocalVideoUpload;true;true;true;true;true;whoa ethical;2025-01-04;ugh fooey;2025-01-04
4;UserUpdateContent;too doubtfully ha;lest grouper equatorial;hidden fat;YouTube;false;true;true;false;false;positively muddy ack;2025-01-04;drat like;2025-01-04
5;UserUpdateUrl;concentration;furthermore unless since;unless yahoo instead;Instagram;true;false;false;false;true;blank though pale;2025-01-04;doing curiously;2025-01-03
6;UserChangeActiveStatus;insecure observe above;cheap dearly but;finally failing;YouTube;false;false;true;false;false;break geez;2025-01-03;along incidentally quizzically;2025-01-03
7;UserUpdateUrl;memorable parched stable;before truthfully;circumnavigate offensively;Instagram;false;true;true;false;true;upliftingly;2025-01-03;tousle beside;2025-01-03
8;ModeratorUpdateActiveStatus;pro furthermore;tiny bravely aw;brand while;Instagram;true;false;false;true;true;slipper structure cow;2025-01-03;soupy unless per;2025-01-03
9;ModeratorUpdateContent;intent helpless;misfire lively dramatic;nor;YouTube;false;false;true;false;true;amidst only;2025-01-04;geez beside queasily;2025-01-03
10;UserUpdateUrl;even;starch yearningly;weary;Instagram;true;false;true;true;true;dearly for;2025-01-04;border soliloquy powerfully;2025-01-04
