id;prize_title;citation;certificate_url;selected_by;selection_reason;is_active;created_by;created_on;updated_by;updated_on
1;so thick;story round;fork;around indolent pfft;aside extroverted keenly;false;naughty around bah;2025-01-03;freely;2025-01-03
2;however handsome neatly;flowery;yippee;soup bah governance;hmph because aggravating;false;postbox;2025-01-03;regarding;2025-01-03
3;slow fervently;afore;atop blah;wildly tectonics;psst beside up;true;aw;2025-01-04;glittering;2025-01-03
4;zen;via;gratefully brr pfft;browse;whether sate;true;astride scarcely equatorial;2025-01-04;scented wherever equally;2025-01-03
5;clearly frozen;into instead;over;failing;pfft lest;false;gladly er ugh;2025-01-03;membership aside;2025-01-03
6;towards overreact;drat ajar appertain;intently absent silently;convalesce whoa ugh;above spook;false;transcend;2025-01-03;indeed chatter whoever;2025-01-03
7;because unless impressionable;flimsy carelessly;yowza;enthusiastically table;soupy iterate;true;wherever exalted specific;2025-01-04;between;2025-01-04
8;lightly pish ha;however oof gah;per;aha perfection phooey;vision anenst gasp;true;version at;2025-01-03;when euphonium;2025-01-04
9;lone;um;smug an which;fast bump;oddball;false;cricket psst;2025-01-04;than poorly;2025-01-04
10;ironclad;phew;thoughtfully defrag;pace deliberately cheerfully;reasoning eggplant now;true;into;2025-01-04;quickly;2025-01-03
